id,text,original_label,annotation_label,emoji_label,annotation_0,annotation_label_0,annotation_1,annotation_label_1,annotation_2,annotation_label_2,annotation_3,annotation_label_3,llm_annotation
574,Magical moonbeam light dance. Things are good.,5,3,😊,😊,3,😊,3,😊,3,😊,3,3
2305,Good luck to the @user today in what is undoubtedly a different October game than years…,4,0,🔥,😊,3,🔥,0,🔥,0,🔥,0,0
1448,Gunther is here to pick me today #friendsfan #cheapthrills…,19,2,😜,📷,1,📷,1,😊,3,😜,2,0
1623,Was a good #RUNcation weekend w/ the CRew : My race peeps @ the finishline of the annual 5k…,10,1,📷,📷,1,🔥,0,🔥,0,😊,3,1
2495,Windows (featuring inconveniently placed coffee mug) this song bout to be @ Gas Works Park,4,0,🔥,📷,1,😊,3,😊,3,😜,2,1
2846,Flashback to Drizzy Drais. Steez'n the night. @ W Jazz Night,4,0,🔥,😜,2,😜,2,😜,2,🔥,0,0
887,All Starfish Libations are $7 during Opium Hour #thirstythursday #libationtemptation #wineaboutit…,19,2,😜,😊,3,😊,3,🔥,0,😜,2,0
2955,@user Mixtape Release Party Tomorrow trunightclublv We Bout To Be Lit Hit…,4,0,🔥,🔥,0,😜,2,🔥,0,🔥,0,0
982,Can't get build a v-taper without keeping that waist tight My road to an epic transformation…,19,2,😜,😊,3,🔥,0,🔥,0,🔥,0,0
2686,About to have all kinds of fun with this gig. #BritMillah @ Kahal Joseph Congregation,4,0,🔥,📷,1,😜,2,😜,2,😜,2,3
295,Holiday hours are 10am to 8pm daily until Xmas Eve. See ya soon @ Graffiti Beach Boutique,5,3,😊,😊,3,😊,3,😊,3,😊,3,3
893,"""Anything the light touches is yours!"" #woof #BigDogs #bigdogsofinstagram #Furbaby #Parktime…",19,2,😜,🔥,0,🔥,0,📷,1,😊,3,3
2079,How I spend my weekends Follow more posts from this shoot at @user #canon #photojunkie…,10,1,📷,📷,1,📷,1,📷,1,📷,1,1
2156,7/ : fuqwidit @ The Broad,10,1,📷,📷,1,😊,3,📷,1,😜,2,1
1739,fliickman and Spiderman#FreezeofTheDay || sniper fliickman @ Newyork Newyork,10,1,📷,📷,1,🔥,0,🔥,0,📷,1,0
490,Holy water &amp; bubbles before seeing fam bam always helps me @ Hollywood/Vine,5,3,😊,📷,1,😊,3,😊,3,😜,2,3
288,How sweet!!! Friday night... I'm sitting here working like a slave while they're all sleeping.…,5,3,😊,😊,3,😜,2,📷,1,😜,2,2
2066,Watch your step | : @user @ Downtown Los Angeles California USA,10,1,📷,😜,2,🔥,0,📷,1,📷,1,1
1734,Turkey Bowl 2016 : @user @ The Duck Pond,10,1,📷,📷,1,📷,1,📷,1,🔥,0,2
2398,".@arianagrande literally brought fire to the #BBMAs @ T-Mobile Arena, Las Vegas",4,0,🔥,🔥,0,🔥,0,🔥,0,🔥,0,0
2928,The Standard.. with this 2013 Gibson Les Paul Standard Flame Top . #guitar #porn #burbank…,4,0,🔥,📷,1,📷,1,📷,1,🔥,0,0
544,Winterfest is here people and we are sooo excited!! Tomorrow December 11th at The Yost Theatre…,5,3,😊,😊,3,🔥,0,🔥,0,😜,2,1
2149,Starting March off right here @user headquarters. @user,10,1,📷,📷,1,🔥,0,😊,3,😊,3,1
245,Thanksgiving Vibes Happy Thanksgiving everyone . Thankful for so many wonderful things each…,5,3,😊,😊,3,😊,3,😊,3,😊,3,3
2803,FuegoDanceCrew Yesterday we had the chance to perform at West Hills High School SD! It was…,4,0,🔥,😊,3,🔥,0,🔥,0,😊,3,0
1578,My Weekdays... #DJLIFE @user @ UNION,10,1,📷,📷,1,📷,1,😜,2,😜,2,0
451,"Lights up @ Lake Stevens, Washington",5,3,😊,🔥,0,📷,1,📷,1,📷,1,0
195,working in the summer for sure now,5,3,😊,😊,3,😊,3,😜,2,🔥,0,0
2624,Black Friday by Kendrick,4,0,🔥,😊,3,🔥,0,🔥,0,🔥,0,0
2328,Beautiful Sister Cassandra is a powerhouse! Thank you for delivering a transparent word on…,4,0,🔥,😊,3,🔥,0,😊,3,😊,3,2
1656,"me, some months ago in a place I've never been - no plans are good plans, thanks rhombie @user",10,1,📷,😊,3,😊,3,😜,2,😜,2,2
1691,LA douchebag who wears his sunglasses at night • tag someone who does this • by @user,10,1,📷,📷,1,😜,2,😜,2,😜,2,0
2770,"Big Fella's Sessions.. Def Jams own @user @ North Hollywood,…",4,0,🔥,📷,1,😊,3,📷,1,🔥,0,0
391,Tomorrow is on!!,5,3,😊,😊,3,🔥,0,🔥,0,🔥,0,0
2345,New urinal mats @user SAVAGE @ Night + Market Song,4,0,🔥,📷,1,📷,1,📷,1,😜,2,0
2836,We Three Qweenz comin at u wit our classic Christmastime rap. Hot joint yo Thanks…,4,0,🔥,😊,3,😊,3,🔥,0,🔥,0,0
1294,What a great Blind date you were Billie Daly I mean @user I…,19,2,😜,😊,3,😊,3,😊,3,😜,2,2
778,$40 snags it! I'm trying sooooo hard to get ahead of myself before the Vegas l show in…,19,2,😜,😊,3,🔥,0,🔥,0,😜,2,0
1795,"""I don't think there is ever a wrong time for a polka dot."" - Marc Jacobs by…",10,1,📷,😊,3,🔥,0,😊,3,😊,3,3
399,When you are tired or discouraged Have you turned to look. I will always behind My J #KAI…,5,3,😊,😊,3,😜,2,😊,3,😊,3,2
221,"After 8yrs of @user in Sherman Oaks, today is my last 'regular' class. Very bittersweet. Thank u @user 4 making me start",5,3,😊,😊,3,😊,3,😜,2,😊,3,1
1505,Fun day of skating. Front nosegrind. Thanks for the photo svrbtz #skateboarding @user,10,1,📷,📷,1,📷,1,📷,1,📷,1,1
1315,Best friend gets to be a zag for the night #BattleInSeattle @ KeyArena at Seattle Center,19,2,😜,📷,1,😊,3,😜,2,🔥,0,0
1508,"When you get to test out your new lens @ Modesto, California",10,1,📷,📷,1,📷,1,📷,1,📷,1,1
234,"Michael is going to be pleased (at @user in Los Angeles, CA)",5,3,😊,📷,1,😊,3,😊,3,😜,2,2
539,"About last night @ Kensington, San Diego",5,3,😊,📷,1,😊,3,📷,1,📷,1,2
1134,#atthelakersgame with the hubs! @ Lakers Vs Spurs Staples Center,19,2,😜,📷,1,🔥,0,📷,1,🔥,0,1
347,Had so much fun at the parks yesterday with almagrisel !!! One of my favorite visits here's to…,5,3,😊,😊,3,🔥,0,😊,3,😊,3,1
1527,"""Wicked Seduction"" Editorial photos NOW in Oct. issue of imiragemagazine + Model: Andrea…",10,1,📷,📷,1,📷,1,📷,1,📷,1,1
1431,Lulu boy hanging out at the bar (at @user [pic] —,19,2,😜,📷,1,😊,3,📷,1,📷,1,1
2280,Bring back the original. #worldofcolor # @ Mickey's Fun Wheel,4,0,🔥,😊,3,📷,1,📷,1,😊,3,2
2359,Nothing lie smoking what you grow Straight @ Southern…,4,0,🔥,📷,1,🔥,0,📷,1,🔥,0,0
2483,Really hope @user makes more of this #5lbsledgehammer because it's #drinklocal #labeer…,4,0,🔥,📷,1,😊,3,😊,3,😊,3,0
1547,by: @user Go follow @user @ LA River,10,1,📷,📷,1,😜,2,🔥,0,😊,3,1
104,"""Want beautiful full brows? Been doing her eyebrows for over 10 years and always maintained…",5,3,😊,😊,3,😊,3,🔥,0,😊,3,1
1937,Me + awkwardness + nature. via my snapchat story. @ 17-Mile Drive,10,1,📷,📷,1,😜,2,📷,1,😜,2,2
1263,Love u #raverincrime #plursace @ Exchange LA,19,2,😜,📷,1,😜,2,😜,2,🔥,0,0
1532,1 hander #tbt #bmx love this trick but not on spines. @user #rockstarlife @ Woodward Park,10,1,📷,📷,1,🔥,0,📷,1,🔥,0,1
1754,Weekend morning musings with mrporterlive // : sherreenl @ Winsor Hills,10,1,📷,📷,1,😊,3,🔥,0,😊,3,1
215,Thank you @user killin it. Almost there! #stomachtattoo #tattoo #anchortattoo…,5,3,😊,😊,3,📷,1,🔥,0,🔥,0,0
2942,"@ East Oakland, CA",4,0,🔥,📷,1,😊,3,📷,1,📷,1,1
1731,my most favorite... #GiselleKeilani #dadlife #daddysgirl pc : @user @ Golden Gate Fields,10,1,📷,📷,1,📷,1,📷,1,😊,3,1
2600,Very lucky to live near @user (stayed #whole30 by skipping sides and sauce) #eater…,4,0,🔥,😊,3,😊,3,😊,3,😊,3,1
98,Back to business #andrewchristian #andrewchristianboys #andrewchristianintl…,5,3,😊,😊,3,🔥,0,😊,3,🔥,0,1
1334,One of these is not like the other. Game day with the viejos!…,19,2,😜,😊,3,🔥,0,🔥,0,😜,2,2
704,Looking for Low Carb? That grilled Thai Satay chicken and steamed veggies fit the bill …,5,3,😊,😊,3,😊,3,😊,3,🔥,0,0
2319,#ExchangeLA Get $5 OFF At March 10th #BASSRUSH pres #AndyC 3 HOUR…,4,0,🔥,🔥,0,🔥,0,🔥,0,🔥,0,0
